group_a,group_b,cos_func,cos_uni,cos_bi,burrows_delta_func,jsd_uni,jsd_bi
史震林,吴藻,0.4389,0.1956,0.0040,0.4593,0.8339,0.9844
史震林,纳兰性德,0.3767,0.1567,0.0000,0.5372,0.8346,0.9852
史震林,贺双卿,0.2893,0.1415,0.0000,0.5523,0.8600,0.9886
史震林,项鸿祚,0.4399,0.2004,0.0042,0.4228,0.8315,0.9842
史震林,顾太清,0.5303,0.2106,0.0040,0.4496,0.8285,0.9845
吴藻,纳兰性德,0.6702,0.5496,0.0329,0.4480,0.5441,0.9584
吴藻,贺双卿,0.7460,0.5268,0.0272,0.3251,0.5225,0.9650
吴藻,项鸿祚,0.7514,0.5756,0.0210,0.2623,0.4940,0.9685
吴藻,顾太清,0.7624,0.5511,0.0216,0.3385,0.5311,0.9669
纳兰性德,贺双卿,0.6737,0.5231,0.0321,0.4113,0.5080,0.9586
纳兰性德,项鸿祚,0.6766,0.5682,0.0339,0.3479,0.4961,0.9583
纳兰性德,顾太清,0.6687,0.5047,0.0204,0.3950,0.5702,0.9681
贺双卿,项鸿祚,0.7410,0.5499,0.0245,0.3040,0.4700,0.9688
贺双卿,顾太清,0.7406,0.5248,0.0385,0.3622,0.5202,0.9590
项鸿祚,顾太清,0.8334,0.5620,0.0379,0.2301,0.5016,0.9564
